"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 26 18:01:41 IST 2022","Mon Dec 26 18:02:06 IST 2022","25599","","MS Teams Login Application","","MS Teams Login Application","should login to MS Teams app","should login to MS Teams app",""
"broken","Fri Dec 23 16:05:11 IST 2022","Fri Dec 23 16:06:22 IST 2022","71725","","MS Teams Login Application","","MS Teams Login Application","should login to MS Teams app","should login to MS Teams app",""
